date,theftType
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/14/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/15/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
